corebeadsFL_FS,corebeadsFL_A,FLCV_FS,FLCV_A,FSFL_FS,FSFL_A,AFL_FS,AFL_A,SelfFL
87,1173,0.147,0.122,83,31,38,1047,83
93,1865,1.127,0.12,83,31,43,2043,89
101,5008,0.129,0.091,83,31,48,3638,141
117,8124,0.137,0.077,83,31,61,7449,205
228,342,0.098,0.219,200,82,39,541,110
237,1269,0.104,0.109,200,82,38,1047,130
234,2358,0.101,0.104,200,82,43,2043,70
230,4879,0.1,0.09,200,82,48,3638,136
253,9688,0.101,0.072,200,82,61,7449,255
282,18007,0.103,0.073,200,82,96,16071,615
322,30424,0.086,0.069,200,82,156,31125,1121
432,62277,0.081,0.063,200,82,266,63914,2387
400,548,0.079,0.143,429,192,39,541,91
441,1206,0.078,0.123,429,192,38,1047,74
443,2168,0.084,0.113,429,192,43,2043,73
451,4388,0.091,0.106,429,192,48,3638,126
472,9236,0.085,0.087,429,192,61,7449,289
499,18282,0.087,0.081,429,192,96,16071,658
526,34425,0.077,0.077,429,192,156,31125,1300
645,73300,0.082,0.089,429,192,266,63914,2946
860,152889,0.079,0.075,429,192,475,127072,5472
667,812,0.074,0.141,713,334,38,1047,84
657,1976,0.066,0.11,713,334,43,2043,95
664,4126,0.074,0.101,713,334,48,3638,122
678,8881,0.064,0.071,713,334,61,7449,226
684,12944,0.072,0.081,713,334,96,16071,388
730,30570,0.076,0.075,713,334,156,31125,1058
809,58494,0.074,0.063,713,334,266,63914,2177
887,105488,0.067,0.07,713,334,475,127072,3909
119,200897,0.071,0.074,713,334,888,263538,7418
1594,1341,0.068,0.098,1510,749,39,541,79
1600,2985,0.068,0.095,1510,749,43,2043,107
1607,5065,0.074,0.09,1510,749,48,3638,137
1559,7970,0.062,0.074,1510,749,61,7449,222
1540,13606,0.06,0.082,1510,749,96,16071,416
1567,30029,0.07,0.074,1510,749,156,31125,1163
1452,60514,0.074,0.083,1510,749,475,127072,3374
1916,242031,0.076,0.068,1510,749,888,263538,7423
2186,3575,0.057,0.099,2436,1197,48,3638,90
2182,6277,0.046,0.081,2436,1197,61,7449,133
2322,12909,0.058,0.08,2436,1197,96,16071,326
2354,26410,0.059,0.083,2436,1197,156,31125,872
2318,57547,0.062,0.081,2436,1197,266,63914,2030
2131,86331,0.055,0.082,2436,1197,475,127072,2939
1931,111482,0.07,0.072,1499,733,694,235846,6065
3088,2543,0.062,0.084,2899,1495,38,1047,101
2960,3808,0.057,0.074,2899,1495,43,2043,102
3182,5276,0.065,0.078,2899,1495,48,3638,138
3208,9058,0.062,0.058,2899,1495,61,7449,292
3103,14314,0.056,0.061,2899,1495,96,16071,550
3073,25878,0.056,0.056,2899,1495,156,31125,1166
3055,46727,0.068,0.07,2899,1495,266,63914,2240
2998,78777,0.053,0.061,2899,1495,475,127072,4281
8932,7914,0.066,0.068,7759,4178,43,2043,196
9714,10560,0.067,0.064,7759,4178,48,3638,260
8606,16075,0.057,0.054,7759,4178,61,7449,457
8564,25472,0.057,0.057,7759,4178,96,16071,769
8138,44895,0.069,0.062,7759,4178,156,31125,1518
7720,78785,0.064,0.057,7759,4178,266,63914,2841
7164,131318,0.057,0.05,7759,4178,475,127072,5004
17354,14610,0.069,0.07,17378,9114,48,3638,391
16320,18631,0.066,0.065,17378,9114,61,7449,561
16743,27821,0.065,0.063,17378,9114,96,16071,885
16626,44702,0.063,0.059,17378,9114,156,31125,1465
14499,82293,0.063,0.056,17378,9114,266,63914,2900
13775,131918,0.065,0.062,17378,9114,475,127072,4955
10515,224146,0.071,0.059,11992,6238,694,235846,6456
9644,341234,0.066,0.061,17378,9114,888,263538,8082
23021,30278,0.064,0.065,57301,34660,96,16071,1516
39349,60857,0.066,0.062,57301,34660,156,31125,3285
38690,128898,0.061,0.061,57301,34660,888,263538,11748
59081,96955,0.065,0.067,47991,27934,156,31125,5438
58554,153903,0.052,0.056,47991,27934,266,63914,3043
49540,269136,0.063,0.051,47991,27934,475,127072,2186
40514,432000,0.066,0.049,47991,27934,888,263538,6091
18703,259525,0.069,0.073,23984,13069,888,263538,6716
5844,190307,0.062,0.067,5996,3038,888,263538,6845
3300,178453,0.064,0.066,2998,1492,888,263538,6878
1577,49871,0.05,0.058,1510,749,266,63914,2017
5324,4793,0.059,0.081,5036,2517,43,2043,116
5274,9753,0.064,0.086,5036,2517,61,7449,246
5304,17306,0.062,0.081,5036,2517,96,16071,509
5277,29810,0.066,0.083,5036,2517,156,31125,958
4812,50298,0.064,0.078,5036,2517,266,63914,1635
4455,128412,0.064,0.063,5036,2517,496,136638,4436
